"","Reaction","Days","Subject","Group"
"1",249.56,0,"308","A"
"2",258.7047,1,"308","A"
"3",250.8006,2,"308","A"
"4",321.4398,3,"308","A"
"5",356.8519,4,"308","A"
"6",414.6901,5,"308","A"
"7",382.2038,6,"308","A"
"8",290.1486,7,"308","A"
"9",430.5853,8,"308","A"
"10",466.3535,9,"308","A"
"11",222.7339,0,"309","A"
"12",205.2658,1,"309","A"
"13",202.9778,2,"309","A"
"14",204.707,3,"309","A"
"15",207.7161,4,"309","A"
"16",215.9618,5,"309","A"
"17",213.6303,6,"309","A"
"18",217.7272,7,"309","A"
"19",224.2957,8,"309","A"
"20",237.3142,9,"309","A"
"21",199.0539,0,"310","A"
"22",194.3322,1,"310","A"
"23",234.32,2,"310","A"
"24",232.8416,3,"310","A"
"25",229.3074,4,"310","A"
"26",220.4579,5,"310","A"
"27",235.4208,6,"310","A"
"28",255.7511,7,"310","A"
"29",261.0125,8,"310","A"
"30",247.5153,9,"310","A"
"31",321.5426,0,"330","A"
"32",300.4002,1,"330","A"
"33",283.8565,2,"330","A"
"34",285.133,3,"330","A"
"35",285.7973,4,"330","A"
"36",297.5855,5,"330","A"
"37",280.2396,6,"330","A"
"38",318.2613,7,"330","A"
"39",305.3495,8,"330","A"
"40",354.0487,9,"330","A"
"41",287.6079,0,"331","A"
"42",285,1,"331","A"
"43",301.8206,2,"331","A"
"44",320.1153,3,"331","A"
"45",316.2773,4,"331","A"
"46",293.3187,5,"331","A"
"47",290.075,6,"331","A"
"48",334.8177,7,"331","A"
"49",293.7469,8,"331","A"
"50",371.5811,9,"331","A"
"51",234.8606,0,"332","A"
"52",242.8118,1,"332","A"
"53",272.9613,2,"332","A"
"54",309.7688,3,"332","A"
"55",317.4629,4,"332","A"
"56",309.9976,5,"332","A"
"57",454.1619,6,"332","A"
"58",346.8311,7,"332","A"
"59",330.3003,8,"332","A"
"60",253.8644,9,"332","A"
"61",283.8424,0,"333","A"
"62",289.555,1,"333","A"
"63",276.7693,2,"333","A"
"64",299.8097,3,"333","A"
"65",297.171,4,"333","A"
"66",338.1665,5,"333","A"
"67",332.0265,6,"333","A"
"68",348.8399,7,"333","A"
"69",333.36,8,"333","A"
"70",362.0428,9,"333","A"
"71",265.4731,0,"334","A"
"72",276.2012,1,"334","A"
"73",243.3647,2,"334","A"
"74",254.6723,3,"334","A"
"75",279.0244,4,"334","A"
"76",284.1912,5,"334","A"
"77",305.5248,6,"334","A"
"78",331.5229,7,"334","A"
"79",335.7469,8,"334","A"
"80",377.299,9,"334","A"
"81",241.6083,0,"335","A"
"82",273.9472,1,"335","A"
"83",254.4907,2,"335","A"
"84",270.8021,3,"335","A"
"85",251.4519,4,"335","A"
"86",254.6362,5,"335","A"
"87",245.4523,6,"335","A"
"88",235.311,7,"335","A"
"89",235.7541,8,"335","A"
"90",237.2466,9,"335","A"
"91",312.3666,0,"337","B"
"92",313.8058,1,"337","B"
"93",291.6112,2,"337","B"
"94",346.1222,3,"337","B"
"95",365.7324,4,"337","B"
"96",391.8385,5,"337","B"
"97",404.2601,6,"337","B"
